 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   9.500E-04   1.389E-04   2.322E-04   5.831E-04   1.560E-01
   9.400E-04   1.390E-04   2.207E-04   5.438E-04   1.548E-01
   9.200E-04   1.399E-04   1.977E-04   4.603E-04   1.472E-01
   8.900E-04   1.420E-04   1.628E-04   3.668E-04   1.277E-01
   8.700E-04   1.416E-04   1.432E-04   3.320E-04   1.147E-01
   8.600E-04   1.426E-04   1.346E-04   3.215E-04   1.094E-01
   8.500E-04   1.427E-04   1.256E-04   3.108E-04   1.043E-01
   8.400E-04   1.438E-04   1.162E-04   3.000E-04   9.911E-02
   8.200E-04   1.433E-04   9.668E-05   2.743E-04   8.624E-02
   8.000E-04   1.441E-04   8.043E-05   2.572E-04   7.312E-02
   7.900E-04   1.450E-04   7.457E-05   2.582E-04   6.880E-02
   7.800E-04   1.446E-04   6.981E-05   2.571E-04   6.459E-02
   7.700E-04   1.442E-04   6.571E-05   2.590E-04   6.135E-02
   7.600E-04   1.439E-04   6.212E-05   2.637E-04   5.909E-02
   7.500E-04   1.435E-04   5.888E-05   2.690E-04   5.712E-02
   7.300E-04   1.444E-04   5.394E-05   2.877E-04   5.591E-02
   7.200E-04   1.440E-04   5.258E-05   2.957E-04   5.589E-02
   7.100E-04   1.438E-04   5.182E-05   3.051E-04   5.607E-02
   7.000E-04   1.448E-04   5.095E-05   3.152E-04   5.669E-02
   6.900E-04   1.441E-04   4.936E-05   3.224E-04   5.694E-02
   6.800E-04   1.412E-04   4.717E-05   3.281E-04   5.669E-02
   6.600E-04   1.425E-04   4.328E-05   3.508E-04   5.773E-02
   6.400E-04   1.466E-04   3.821E-05   3.752E-04   5.935E-02
   6.300E-04   1.489E-04   3.608E-05   3.855E-04   6.032E-02
   6.200E-04   1.486E-04   3.586E-05   3.934E-04   6.116E-02
   6.100E-04   1.496E-04   3.589E-05   4.034E-04   6.225E-02
   5.900E-04   1.543E-04   2.996E-05   4.256E-04   6.429E-02
   5.500E-04   1.442E-04   2.330E-05   4.507E-04   6.601E-02
   5.300E-04   1.457E-04   2.132E-05   4.775E-04   6.899E-02
   5.200E-04   1.457E-04   2.033E-05   4.900E-04   7.049E-02
