 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  7.60E+00  2.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  1.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.23E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  9.20E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  8.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  7.58E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  9.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.16E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.42E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.11E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  6.69E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  5.57E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  6.73E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  8.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  8.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  4.90E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  3.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  3.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  3.18E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  3.19E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  4.58E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  9.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  4.08E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  3.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  2.85E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  2.75E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
