 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   2.600E-04   2.187E-04   3.015E-05   8.431E-04   1.555E-01
   2.500E-04   2.259E-04   3.483E-05   8.667E-04   1.634E-01
   2.200E-04   2.576E-04   5.776E-05   9.286E-04   1.907E-01
   2.159E-04   2.620E-04   6.242E-05   9.353E-04   1.947E-01
   2.000E-04   2.879E-04   8.608E-05   9.641E-04   2.121E-01
   1.662E-04   3.697E-04   1.902E-04   9.927E-04   2.563E-01
   1.650E-04   3.737E-04   1.962E-04   9.928E-04   2.581E-01
   1.250E-04   5.917E-04   6.042E-04   9.225E-04   3.437E-01
   1.235E-04   6.038E-04   6.315E-04   9.156E-04   3.484E-01
   1.130E-04   6.963E-04   8.593E-04   8.632E-04   3.868E-01
   1.000E-04   8.338E-04   1.250E-03   7.706E-04   4.541E-01
   9.500E-05   8.888E-04   1.443E-03   7.266E-04   4.885E-01
   9.300E-05   9.106E-04   1.528E-03   7.082E-04   5.040E-01
   9.200E-05   9.215E-04   1.573E-03   6.989E-04   5.122E-01
   9.100E-05   9.324E-04   1.618E-03   6.897E-04   5.206E-01
   9.000E-05   9.434E-04   1.665E-03   6.806E-04   5.294E-01
   8.900E-05   9.545E-04   1.713E-03   6.714E-04   5.385E-01
   8.800E-05   9.658E-04   1.762E-03   6.622E-04   5.479E-01
   8.700E-05   9.773E-04   1.812E-03   6.528E-04   5.577E-01
   8.600E-05   9.892E-04   1.863E-03   6.436E-04   5.679E-01
   8.500E-05   1.001E-03   1.915E-03   6.343E-04   5.785E-01
   8.400E-05   1.014E-03   1.968E-03   6.251E-04   5.894E-01
   8.330E-05   1.024E-03   2.005E-03   6.187E-04   5.973E-01
   8.200E-05   1.041E-03   2.074E-03   6.068E-04   6.126E-01
   8.100E-05   1.056E-03   2.128E-03   5.975E-04   6.247E-01
   8.000E-05   1.071E-03   2.183E-03   5.879E-04   6.373E-01
   7.900E-05   1.086E-03   2.239E-03   5.779E-04   6.503E-01
   7.800E-05   1.101E-03   2.295E-03   5.676E-04   6.638E-01
   7.700E-05   1.117E-03   2.353E-03   5.570E-04   6.776E-01
   7.600E-05   1.132E-03   2.412E-03   5.459E-04   6.918E-01
   7.500E-05   1.148E-03   2.473E-03   5.344E-04   7.065E-01
   7.400E-05   1.163E-03   2.536E-03   5.225E-04   7.215E-01
   7.300E-05   1.178E-03   2.601E-03   5.102E-04   7.370E-01
   7.140E-05   1.202E-03   2.711E-03   4.896E-04   7.627E-01
   7.100E-05   1.208E-03   2.740E-03   4.844E-04   7.693E-01
   7.000E-05   1.223E-03   2.813E-03   4.714E-04   7.861E-01
   6.900E-05   1.237E-03   2.888E-03   4.585E-04   8.035E-01
   6.800E-05   1.251E-03   2.966E-03   4.457E-04   8.215E-01
   6.700E-05   1.266E-03   3.045E-03   4.333E-04   8.401E-01
   6.600E-05   1.280E-03   3.123E-03   4.211E-04   8.594E-01
   6.500E-05   1.295E-03   3.201E-03   4.093E-04   8.795E-01
   6.400E-05   1.310E-03   3.277E-03   3.979E-04   9.004E-01
   6.300E-05   1.324E-03   3.350E-03   3.866E-04   9.220E-01
   6.250E-05   1.332E-03   3.386E-03   3.809E-04   9.332E-01
   6.200E-05   1.339E-03   3.422E-03   3.751E-04   9.445E-01
   6.100E-05   1.354E-03   3.492E-03   3.635E-04   9.679E-01
   6.000E-05   1.368E-03   3.563E-03   3.515E-04   9.921E-01
   5.900E-05   1.382E-03   3.638E-03   3.390E-04   1.017E+00
   5.800E-05   1.396E-03   3.719E-03   3.261E-04   1.043E+00
   5.700E-05   1.408E-03   3.807E-03   3.129E-04   1.070E+00
   5.600E-05   1.420E-03   3.904E-03   2.995E-04   1.098E+00
   5.500E-05   1.430E-03   4.008E-03   2.863E-04   1.126E+00
   5.477E-05   1.433E-03   4.033E-03   2.833E-04   1.134E+00
   5.400E-05   1.440E-03   4.117E-03   2.734E-04   1.156E+00
   5.300E-05   1.447E-03   4.230E-03   2.610E-04   1.187E+00
   5.200E-05   1.453E-03   4.340E-03   2.493E-04   1.219E+00
   5.100E-05   1.457E-03   4.445E-03   2.381E-04   1.251E+00
   5.000E-05   1.458E-03   4.543E-03   2.274E-04   1.285E+00
   4.900E-05   1.458E-03   4.633E-03   2.170E-04   1.319E+00
   4.880E-05   1.457E-03   4.651E-03   2.149E-04   1.326E+00
   4.800E-05   1.455E-03   4.721E-03   2.066E-04   1.355E+00
   4.760E-05   1.453E-03   4.756E-03   2.025E-04   1.370E+00
   4.700E-05   1.449E-03   4.809E-03   1.963E-04   1.392E+00
   4.650E-05   1.446E-03   4.854E-03   1.911E-04   1.411E+00
   4.600E-05   1.442E-03   4.901E-03   1.859E-04   1.430E+00
   4.550E-05   1.437E-03   4.952E-03   1.807E-04   1.450E+00
   4.500E-05   1.431E-03   5.007E-03   1.756E-04   1.470E+00
   4.440E-05   1.424E-03   5.078E-03   1.697E-04   1.493E+00
   4.350E-05   1.411E-03   5.197E-03   1.612E-04   1.530E+00
   4.170E-05   1.377E-03   5.426E-03   1.459E-04   1.607E+00
   4.000E-05   1.334E-03   5.592E-03   1.325E-04   1.683E+00
   3.850E-05   1.288E-03   5.740E-03   1.209E-04   1.751E+00
   3.656E-05   1.213E-03   5.971E-03   1.071E-04   1.838E+00
   3.570E-05   1.176E-03   6.061E-03   1.010E-04   1.877E+00
   3.330E-05   1.054E-03   6.309E-03   8.618E-05   1.988E+00
   3.130E-05   9.355E-04   6.497E-03   7.479E-05   2.081E+00
   3.000E-05   8.524E-04   6.602E-03   6.683E-05   2.146E+00
   2.940E-05   8.133E-04   6.773E-03   6.376E-05   2.176E+00
   2.780E-05   7.018E-04   6.972E-03   5.657E-05   2.267E+00
   2.630E-05   6.005E-04   7.090E-03   4.942E-05   2.389E+00
   2.500E-05   5.215E-04   7.342E-03   4.479E-05   2.564E+00
   2.380E-05   4.518E-04   7.496E-03   4.003E-05   2.889E+00
   2.270E-05   3.869E-04   7.452E-03   3.658E-05   3.296E+00
   2.170E-05   3.394E-04   7.387E-03   3.420E-05   3.486E+00
   2.080E-05   2.983E-04   7.546E-03   3.037E-05   3.453E+00
   2.000E-05   2.652E-04   7.108E-03   2.873E-05   3.306E+00
   1.920E-05   2.442E-04   6.190E-03   2.558E-05   3.127E+00
   1.850E-05   2.286E-04   5.669E-03   2.254E-05   3.024E+00
   1.790E-05   2.098E-04   5.181E-03   2.078E-05   2.975E+00
   1.720E-05   1.888E-04   4.615E-03   1.712E-05   2.976E+00
   1.670E-05   1.749E-04   4.183E-03   1.362E-05   3.004E+00
   1.610E-05   1.573E-04   3.634E-03   1.043E-05   3.090E+00
   1.560E-05   1.426E-04   3.156E-03   6.257E-06   3.208E+00
   1.520E-05   1.316E-04   2.746E-03   4.194E-06   3.341E+00
   1.470E-05   1.197E-04   2.234E-03   7.391E-06   3.533E+00
   1.430E-05   1.125E-04   1.830E-03   1.258E-05   3.705E+00
   1.390E-05   1.084E-04   1.521E-03   1.568E-05   3.838E+00
   1.350E-05   1.075E-04   1.251E-03   1.657E-05   3.967E+00
   1.320E-05   1.092E-04   1.084E-03   1.845E-05   4.070E+00
   1.280E-05   1.150E-04   9.208E-04   2.035E-05   4.225E+00
   1.250E-05   1.235E-04   8.702E-04   2.037E-05   4.360E+00
   1.220E-05   1.366E-04   8.152E-04   2.142E-05   4.520E+00
   1.190E-05   1.539E-04   7.464E-04   2.156E-05   4.719E+00
