 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  7.50E+00  1.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.21E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.07E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.24E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  9.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  7.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  7.42E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  8.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.39E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  6.52E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  5.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  6.55E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  8.59E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  8.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  4.73E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  3.70E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  3.14E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  3.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  3.02E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  4.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  9.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  3.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  3.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  2.69E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  2.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  2.48E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  2.35E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  2.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  1.79E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  1.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  1.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.28E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  6.99E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  6.86E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  2.80E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  2.67E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  1.85E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.04E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  7.95E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  7.07E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  6.65E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  6.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  5.86E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  5.48E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  5.12E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  4.78E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  4.45E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  4.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  3.83E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  3.63E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  3.27E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  3.01E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  2.77E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  2.54E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  2.32E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  2.12E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  1.92E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  1.74E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  1.58E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  1.42E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  1.19E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.14E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  9.02E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  7.97E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  7.02E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  6.15E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  5.37E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  4.66E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  4.03E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  3.74E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  3.46E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  2.96E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  2.51E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  2.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  1.78E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  1.23E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.01E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  1.31E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  9.09E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  7.33E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  5.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  4.63E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  3.62E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  3.45E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  2.81E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  2.53E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  2.15E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  1.88E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  1.63E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  1.41E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.02E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  7.67E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  4.22E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  2.28E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  1.27E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  5.55E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  3.75E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  1.14E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  3.74E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  1.71E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  1.18E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  4.14E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  1.49E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  6.15E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  2.60E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  7.96E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.20E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  1.47E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  2.05E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  2.71E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  4.35E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  8.60E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  1.20E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  2.77E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  4.41E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
