 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
5.300E-05 2.45E-01 2.15E-01 7.23E-04 4.93E-01 4.20E-02 3.26E-06 2.34E-02 5.59E-06 6.00E-03 2.06E-02 2.71E-02 1.073E+00
5.200E-05 2.51E-01 2.17E-01 7.68E-04 5.13E-01 4.33E-02 3.52E-06 2.38E-02 6.04E-06 6.33E-03 2.07E-02 2.65E-02 1.103E+00
5.100E-05 2.59E-01 2.19E-01 8.11E-04 5.33E-01 4.46E-02 3.80E-06 2.42E-02 6.53E-06 6.69E-03 2.09E-02 2.60E-02 1.134E+00
5.000E-05 2.66E-01 2.21E-01 8.58E-04 5.55E-01 4.60E-02 4.12E-06 2.47E-02 7.08E-06 7.08E-03 2.10E-02 2.55E-02 1.166E+00
4.900E-05 2.73E-01 2.23E-01 9.08E-04 5.77E-01 4.74E-02 4.47E-06 2.52E-02 7.68E-06 7.51E-03 2.11E-02 2.50E-02 1.199E+00
4.880E-05 2.74E-01 2.23E-01 9.19E-04 5.81E-01 4.77E-02 4.54E-06 2.53E-02 7.81E-06 7.60E-03 2.11E-02 2.49E-02 1.206E+00
4.800E-05 2.80E-01 2.24E-01 9.54E-04 6.00E-01 4.91E-02 4.86E-06 2.57E-02 8.36E-06 7.99E-03 2.12E-02 2.45E-02 1.233E+00
4.760E-05 2.83E-01 2.25E-01 9.76E-04 6.09E-01 4.99E-02 5.03E-06 2.59E-02 8.65E-06 8.19E-03 2.13E-02 2.43E-02 1.247E+00
4.700E-05 2.87E-01 2.25E-01 1.01E-03 6.23E-01 5.10E-02 5.30E-06 2.62E-02 9.11E-06 8.52E-03 2.13E-02 2.40E-02 1.268E+00
4.650E-05 2.91E-01 2.26E-01 1.05E-03 6.35E-01 5.20E-02 5.54E-06 2.64E-02 9.52E-06 8.80E-03 2.13E-02 2.38E-02 1.286E+00
4.600E-05 2.95E-01 2.27E-01 1.08E-03 6.47E-01 5.31E-02 5.79E-06 2.67E-02 9.94E-06 9.10E-03 2.14E-02 2.36E-02 1.304E+00
4.550E-05 2.99E-01 2.27E-01 1.12E-03 6.60E-01 5.41E-02 6.05E-06 2.70E-02 1.04E-05 9.42E-03 2.14E-02 2.34E-02 1.322E+00
4.500E-05 3.02E-01 2.28E-01 1.18E-03 6.72E-01 5.52E-02 6.34E-06 2.73E-02 1.09E-05 9.76E-03 2.14E-02 2.32E-02 1.340E+00
4.440E-05 3.07E-01 2.28E-01 1.24E-03 6.88E-01 5.65E-02 6.70E-06 2.76E-02 1.15E-05 1.02E-02 2.15E-02 2.29E-02 1.363E+00
4.350E-05 3.14E-01 2.29E-01 1.36E-03 7.11E-01 5.86E-02 7.29E-06 2.82E-02 1.25E-05 1.09E-02 2.15E-02 2.26E-02 1.397E+00
4.170E-05 3.27E-01 2.31E-01 1.65E-03 7.61E-01 6.36E-02 8.67E-06 2.93E-02 1.49E-05 1.26E-02 2.15E-02 2.19E-02 1.470E+00
4.000E-05 3.40E-01 2.33E-01 2.19E-03 8.09E-01 6.88E-02 1.03E-05 3.04E-02 1.77E-05 1.46E-02 2.15E-02 2.13E-02 1.541E+00
3.850E-05 3.52E-01 2.34E-01 2.90E-03 8.52E-01 7.37E-02 1.21E-05 3.15E-02 2.07E-05 1.69E-02 2.15E-02 2.09E-02 1.605E+00
3.656E-05 3.67E-01 2.35E-01 4.26E-03 9.08E-01 8.07E-02 1.50E-05 3.30E-02 2.57E-05 2.08E-02 2.13E-02 2.05E-02 1.691E+00
3.570E-05 3.74E-01 2.36E-01 4.99E-03 9.32E-01 8.40E-02 1.67E-05 3.36E-02 2.83E-05 2.30E-02 2.13E-02 2.03E-02 1.729E+00
3.330E-05 3.92E-01 2.38E-01 7.47E-03 1.00E+00 9.55E-02 2.28E-05 3.57E-02 3.80E-05 3.19E-02 2.11E-02 1.99E-02 1.842E+00
3.130E-05 4.07E-01 2.39E-01 9.94E-03 1.05E+00 1.10E-01 3.08E-05 3.76E-02 4.94E-05 4.47E-02 2.08E-02 1.97E-02 1.942E+00
