 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.09E+01  5.14E-14  1.22E-38  1.22E-38  0.00E+00  0.00E+00
  1.05E+01  4.03E-14  8.93E-40  8.93E-40  0.00E+00  0.00E+00
  1.00E+01  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.80E+00  3.68E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  3.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  3.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  3.51E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  3.20E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  2.66E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  2.76E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  3.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  2.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  2.13E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  1.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  1.88E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  2.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  2.16E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  2.18E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  2.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  1.72E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.22E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.08E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.05E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
