 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.44E+01  3.14E-14  7.99E-29  0.00E+00  5.03E-32  0.00E+00  1.06E-14  1.84E-14  2.39E-15  7.58E-18
  1.43E+01  3.09E-14  5.70E-29  0.00E+00  3.49E-32  0.00E+00  1.04E-14  1.79E-14  2.58E-15  7.56E-18
  1.42E+01  3.04E-14  4.05E-29  0.00E+00  2.40E-32  0.00E+00  1.02E-14  1.75E-14  2.68E-15  7.53E-18
  1.40E+01  2.97E-14  2.02E-29  0.00E+00  1.13E-32  0.00E+00  9.93E-15  1.68E-14  2.92E-15  7.48E-18
  1.38E+01  2.98E-14  9.85E-30  0.00E+00  5.15E-33  0.00E+00  9.63E-15  1.65E-14  3.67E-15  7.43E-18
  1.37E+01  3.05E-14  6.81E-30  0.00E+00  3.45E-33  0.00E+00  9.49E-15  1.66E-14  4.37E-15  7.40E-18
  1.36E+01  3.11E-14  4.70E-30  0.00E+00  2.30E-33  0.00E+00  9.35E-15  1.67E-14  5.05E-15  7.38E-18
  1.35E+01  3.14E-14  3.22E-30  0.00E+00  1.53E-33  0.00E+00  9.22E-15  1.68E-14  5.40E-15  7.35E-18
  1.34E+01  3.19E-14  2.20E-30  0.00E+00  1.01E-33  0.00E+00  9.09E-15  1.70E-14  5.84E-15  7.32E-18
  1.33E+01  3.29E-14  1.49E-30  0.00E+00  6.59E-34  0.00E+00  8.96E-15  1.72E-14  6.76E-15  7.29E-18
  1.32E+01  3.45E-14  1.01E-30  0.00E+00  4.28E-34  0.00E+00  8.83E-15  1.74E-14  8.33E-15  7.27E-18
  1.31E+01  3.72E-14  6.72E-31  0.00E+00  2.76E-34  0.00E+00  8.71E-15  1.76E-14  1.09E-14  7.24E-18
  1.29E+01  4.89E-14  2.94E-31  0.00E+00  1.12E-34  0.00E+00  8.47E-15  1.80E-14  2.24E-14  7.18E-18
  1.28E+01  5.96E-14  1.92E-31  0.00E+00  7.02E-35  0.00E+00  8.35E-15  1.83E-14  3.29E-14  7.15E-18
  1.27E+01  6.66E-14  1.25E-31  0.00E+00  4.40E-35  0.00E+00  8.24E-15  1.87E-14  3.97E-14  7.12E-18
  1.26E+01  6.13E-14  8.07E-32  0.00E+00  2.74E-35  0.00E+00  8.13E-15  1.90E-14  3.42E-14  7.09E-18
  1.25E+01  5.25E-14  5.17E-32  0.00E+00  1.68E-35  0.00E+00  8.02E-15  1.93E-14  2.52E-14  7.06E-18
  1.22E+01  4.74E-14  0.00E+00  0.00E+00  3.80E-36  0.00E+00  7.68E-15  2.02E-14  1.96E-14  6.97E-18
  1.21E+01  5.06E-14  0.00E+00  0.00E+00  2.27E-36  0.00E+00  7.57E-15  2.05E-14  2.25E-14  6.91E-18
  1.20E+01  5.32E-14  0.00E+00  0.00E+00  1.34E-36  0.00E+00  7.46E-15  2.09E-14  2.48E-14  6.85E-18
  1.19E+01  5.35E-14  0.00E+00  0.00E+00  7.88E-37  0.00E+00  7.36E-15  2.13E-14  2.48E-14  6.80E-18
  1.18E+01  5.36E-14  0.00E+00  0.00E+00  4.59E-37  0.00E+00  7.25E-15  2.17E-14  2.46E-14  6.74E-18
  1.17E+01  5.66E-14  0.00E+00  0.00E+00  2.64E-37  0.00E+00  7.15E-15  2.21E-14  2.73E-14  6.68E-18
  1.16E+01  6.46E-14  0.00E+00  0.00E+00  1.51E-37  0.00E+00  7.08E-15  2.24E-14  3.51E-14  6.63E-18
  1.15E+01  8.36E-14  0.00E+00  0.00E+00  8.48E-38  0.00E+00  9.72E-15  2.27E-14  5.12E-14  6.57E-18
  1.14E+01  1.07E-13  0.00E+00  0.00E+00  4.72E-38  0.00E+00  7.05E-15  2.31E-14  7.69E-14  6.51E-18
  1.13E+01  1.24E-13  0.00E+00  0.00E+00  2.60E-38  0.00E+00  6.88E-15  2.34E-14  9.37E-14  6.45E-18
  1.12E+01  1.06E-13  0.00E+00  0.00E+00  1.42E-38  0.00E+00  6.76E-15  2.38E-14  7.54E-14  6.40E-18
  1.11E+01  7.88E-14  0.00E+00  0.00E+00  7.64E-39  0.00E+00  6.66E-15  2.43E-14  4.78E-14  6.34E-18
  1.09E+01  5.14E-14  0.00E+00  0.00E+00  2.15E-39  0.00E+00  6.47E-15  2.51E-14  1.98E-14  6.23E-18
