 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.75E+01  7.88E-14  4.51E-25  9.67E-29  1.40E-27  5.80E-31  1.86E-14  5.89E-14  1.31E-15  8.22E-18
  1.70E+01  6.91E-14  1.41E-25  2.18E-29  4.05E-28  1.13E-31  1.69E-14  5.06E-14  1.58E-15  8.13E-18
  1.67E+01  6.36E-14  6.83E-26  8.37E-30  1.87E-28  4.07E-32  1.59E-14  4.58E-14  1.85E-15  8.08E-18
  1.65E+01  5.99E-14  4.16E-26  4.30E-30  1.10E-28  0.00E+00  1.53E-14  4.26E-14  1.94E-15  8.04E-18
  1.64E+01  5.80E-14  3.23E-26  3.05E-30  8.41E-29  0.00E+00  1.50E-14  4.11E-14  1.93E-15  8.02E-18
  1.63E+01  5.62E-14  2.50E-26  2.16E-30  6.39E-29  0.00E+00  1.48E-14  3.96E-14  1.89E-15  8.00E-18
  1.61E+01  5.26E-14  1.48E-26  1.05E-30  3.65E-29  0.00E+00  1.42E-14  3.66E-14  1.75E-15  7.96E-18
  1.60E+01  5.09E-14  1.14E-26  7.28E-31  2.74E-29  0.00E+00  1.40E-14  3.52E-14  1.69E-15  7.94E-18
  1.59E+01  4.92E-14  8.68E-27  5.00E-31  2.05E-29  0.00E+00  1.37E-14  3.39E-14  1.64E-15  7.92E-18
  1.58E+01  4.76E-14  6.60E-27  3.42E-31  1.53E-29  0.00E+00  1.35E-14  3.26E-14  1.61E-15  7.90E-18
  1.57E+01  4.61E-14  4.99E-27  2.32E-31  1.14E-29  0.00E+00  1.32E-14  3.13E-14  1.58E-15  7.88E-18
  1.56E+01  4.46E-14  3.77E-27  1.57E-31  8.42E-30  0.00E+00  1.30E-14  3.00E-14  1.54E-15  7.86E-18
  1.54E+01  4.18E-14  2.13E-27  7.09E-32  4.57E-30  0.00E+00  1.26E-14  2.77E-14  1.50E-15  7.82E-18
  1.52E+01  3.93E-14  1.18E-27  3.19E-32  2.42E-30  0.00E+00  1.21E-14  2.56E-14  1.58E-15  7.77E-18
  1.51E+01  3.81E-14  8.75E-28  0.00E+00  1.75E-30  0.00E+00  1.19E-14  2.46E-14  1.62E-15  7.75E-18
  1.50E+01  3.70E-14  6.43E-28  0.00E+00  1.26E-30  0.00E+00  1.17E-14  2.36E-14  1.63E-15  7.73E-18
  1.45E+01  3.23E-14  1.30E-28  0.00E+00  2.28E-31  0.00E+00  1.08E-14  1.95E-14  2.06E-15  7.61E-18
  1.44E+01  3.17E-14  9.34E-29  0.00E+00  1.60E-31  0.00E+00  1.06E-14  1.88E-14  2.28E-15  7.58E-18
  1.43E+01  3.12E-14  6.67E-29  0.00E+00  1.11E-31  0.00E+00  1.05E-14  1.83E-14  2.46E-15  7.56E-18
  1.42E+01  3.07E-14  4.74E-29  0.00E+00  7.73E-32  0.00E+00  1.03E-14  1.78E-14  2.55E-15  7.53E-18
  1.40E+01  3.00E-14  2.36E-29  0.00E+00  3.67E-32  0.00E+00  1.00E-14  1.72E-14  2.78E-15  7.48E-18
  1.38E+01  3.01E-14  1.15E-29  0.00E+00  1.70E-32  0.00E+00  9.71E-15  1.69E-14  3.52E-15  7.43E-18
  1.37E+01  3.07E-14  7.97E-30  0.00E+00  1.15E-32  0.00E+00  9.57E-15  1.69E-14  4.18E-15  7.40E-18
  1.36E+01  3.13E-14  5.49E-30  0.00E+00  7.69E-33  0.00E+00  9.43E-15  1.70E-14  4.85E-15  7.38E-18
  1.35E+01  3.16E-14  3.77E-30  0.00E+00  5.14E-33  0.00E+00  9.30E-15  1.71E-14  5.18E-15  7.35E-18
  1.34E+01  3.21E-14  2.57E-30  0.00E+00  3.41E-33  0.00E+00  9.17E-15  1.73E-14  5.61E-15  7.32E-18
  1.33E+01  3.31E-14  1.74E-30  0.00E+00  2.25E-33  0.00E+00  9.04E-15  1.75E-14  6.50E-15  7.29E-18
  1.32E+01  3.46E-14  1.18E-30  0.00E+00  1.47E-33  0.00E+00  8.91E-15  1.77E-14  8.02E-15  7.27E-18
  1.31E+01  3.72E-14  7.87E-31  0.00E+00  9.54E-34  0.00E+00  8.78E-15  1.79E-14  1.05E-14  7.24E-18
  1.29E+01  4.86E-14  3.43E-31  0.00E+00  3.91E-34  0.00E+00  8.54E-15  1.84E-14  2.17E-14  7.18E-18
  1.28E+01  5.89E-14  2.25E-31  0.00E+00  2.48E-34  0.00E+00  8.43E-15  1.87E-14  3.18E-14  7.15E-18
  1.27E+01  6.58E-14  1.46E-31  0.00E+00  1.57E-34  0.00E+00  8.31E-15  1.90E-14  3.84E-14  7.12E-18
  1.26E+01  6.06E-14  9.45E-32  0.00E+00  9.81E-35  0.00E+00  8.20E-15  1.93E-14  3.31E-14  7.09E-18
  1.25E+01  5.21E-14  6.06E-32  0.00E+00  6.09E-35  0.00E+00  8.09E-15  1.97E-14  2.43E-14  7.06E-18
  1.22E+01  4.73E-14  0.00E+00  0.00E+00  1.41E-35  0.00E+00  7.75E-15  2.06E-14  1.89E-14  6.97E-18
