 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
6.800E-04 2.60E-02 7.97E-05 5.81E-03 3.12E-05 7.82E-04 1.46E-10 4.05E-03 1.06E-10 3.58E-05 5.62E-03 1.23E-03 4.367E-02
6.600E-04 2.61E-02 8.97E-05 5.22E-03 3.63E-05 8.21E-04 1.64E-10 4.05E-03 1.31E-10 3.39E-05 5.71E-03 1.43E-03 4.354E-02
6.400E-04 2.69E-02 1.01E-04 4.52E-03 4.22E-05 8.62E-04 1.85E-10 4.04E-03 1.58E-10 5.29E-05 5.89E-03 1.64E-03 4.404E-02
6.300E-04 2.75E-02 1.07E-04 4.22E-03 4.58E-05 8.72E-04 1.98E-10 4.03E-03 1.74E-10 8.44E-05 6.00E-03 1.74E-03 4.457E-02
6.200E-04 2.76E-02 1.12E-04 4.14E-03 4.98E-05 9.09E-04 2.10E-10 4.01E-03 1.91E-10 1.16E-04 6.04E-03 1.85E-03 4.487E-02
6.100E-04 2.79E-02 1.19E-04 4.12E-03 5.37E-05 9.33E-04 2.24E-10 3.98E-03 2.08E-10 8.29E-05 6.11E-03 1.97E-03 4.528E-02
5.900E-04 2.91E-02 1.34E-04 3.38E-03 6.25E-05 9.85E-04 2.56E-10 3.93E-03 2.50E-10 3.50E-05 6.33E-03 2.22E-03 4.616E-02
5.500E-04 2.82E-02 1.62E-04 2.50E-03 8.79E-05 1.10E-03 3.38E-10 3.87E-03 3.58E-10 2.81E-05 6.25E-03 2.80E-03 4.498E-02
5.300E-04 2.84E-02 1.86E-04 2.23E-03 1.05E-04 1.17E-03 3.92E-10 3.88E-03 4.29E-10 4.69E-05 6.40E-03 3.21E-03 4.564E-02
5.200E-04 2.85E-02 1.99E-04 2.10E-03 1.14E-04 1.21E-03 4.22E-10 3.89E-03 4.70E-10 7.69E-05 6.46E-03 3.43E-03 4.593E-02
5.100E-04 2.87E-02 2.14E-04 1.96E-03 1.25E-04 1.25E-03 4.56E-10 3.90E-03 5.15E-10 1.08E-04 6.57E-03 3.67E-03 4.652E-02
5.000E-04 2.90E-02 2.31E-04 1.81E-03 1.38E-04 1.29E-03 4.93E-10 3.93E-03 5.66E-10 7.62E-05 6.69E-03 3.91E-03 4.711E-02
4.800E-04 2.94E-02 2.67E-04 1.61E-03 1.66E-04 1.37E-03 5.79E-10 3.99E-03 6.83E-10 3.23E-05 6.89E-03 4.46E-03 4.822E-02
4.500E-04 3.05E-02 3.34E-04 1.35E-03 2.21E-04 1.52E-03 7.47E-10 4.14E-03 9.13E-10 2.27E-05 7.29E-03 5.40E-03 5.075E-02
4.000E-04 3.17E-02 5.12E-04 9.93E-04 3.68E-04 1.83E-03 1.19E-09 4.45E-03 1.53E-09 2.44E-05 7.96E-03 7.60E-03 5.542E-02
3.800E-04 3.24E-02 6.20E-04 8.75E-04 4.59E-04 1.99E-03 1.46E-09 4.59E-03 1.90E-09 2.74E-05 8.28E-03 8.71E-03 5.793E-02
3.600E-04 3.31E-02 7.58E-04 7.68E-04 5.77E-04 2.16E-03 1.80E-09 4.74E-03 2.39E-09 3.43E-05 8.61E-03 9.98E-03 6.076E-02
3.400E-04 3.48E-02 9.32E-04 6.75E-04 7.34E-04 2.37E-03 2.26E-09 4.91E-03 3.03E-09 7.94E-05 9.07E-03 1.13E-02 6.484E-02
3.300E-04 3.47E-02 1.03E-03 6.32E-04 8.32E-04 2.48E-03 2.54E-09 5.00E-03 3.43E-09 2.26E-04 9.15E-03 1.21E-02 6.616E-02
3.200E-04 3.49E-02 1.16E-03 5.88E-04 9.46E-04 2.61E-03 2.87E-09 5.08E-03 3.90E-09 8.08E-05 9.30E-03 1.30E-02 6.759E-02
3.150E-04 3.52E-02 1.23E-03 5.69E-04 1.01E-03 2.67E-03 3.05E-09 5.12E-03 4.16E-09 5.84E-05 9.42E-03 1.34E-02 6.868E-02
3.100E-04 3.55E-02 1.31E-03 5.50E-04 1.08E-03 2.74E-03 3.25E-09 5.16E-03 4.45E-09 4.95E-05 9.54E-03 1.39E-02 6.984E-02
3.080E-04 3.57E-02 1.34E-03 5.42E-04 1.11E-03 2.77E-03 3.33E-09 5.18E-03 4.57E-09 4.76E-05 9.58E-03 1.41E-02 7.028E-02
3.050E-04 3.58E-02 1.39E-03 5.30E-04 1.16E-03 2.81E-03 3.46E-09 5.21E-03 4.75E-09 4.57E-05 9.64E-03 1.43E-02 7.090E-02
3.000E-04 3.60E-02 1.48E-03 5.13E-04 1.24E-03 2.88E-03 3.69E-09 5.27E-03 5.09E-09 4.41E-05 9.74E-03 1.48E-02 7.202E-02
2.900E-04 3.68E-02 1.67E-03 4.78E-04 1.42E-03 3.04E-03 4.22E-09 5.38E-03 5.85E-09 4.39E-05 9.99E-03 1.58E-02 7.465E-02
2.800E-04 3.70E-02 1.90E-03 4.46E-04 1.65E-03 3.21E-03 4.84E-09 5.50E-03 6.76E-09 4.56E-05 1.02E-02 1.70E-02 7.691E-02
2.600E-04 3.81E-02 2.52E-03 3.86E-04 2.24E-03 3.60E-03 6.48E-09 5.77E-03 9.15E-09 5.18E-05 1.06E-02 1.95E-02 8.272E-02
2.500E-04 3.89E-02 2.94E-03 3.59E-04 2.63E-03 3.83E-03 7.55E-09 5.92E-03 1.07E-08 5.61E-05 1.09E-02 2.08E-02 8.632E-02
2.200E-04 4.25E-02 4.81E-03 2.88E-04 4.43E-03 4.65E-03 1.25E-08 6.49E-03 1.80E-08 7.45E-05 1.19E-02 2.51E-02 1.002E-01
2.159E-04 4.30E-02 5.16E-03 2.79E-04 4.78E-03 4.79E-03 1.34E-08 6.58E-03 1.95E-08 7.79E-05 1.21E-02 2.57E-02 1.024E-01
2.000E-04 4.55E-02 6.93E-03 2.51E-04 6.52E-03 5.39E-03 1.81E-08 6.96E-03 2.65E-08 9.39E-05 1.27E-02 2.81E-02 1.125E-01
1.662E-04 5.27E-02 1.38E-02 2.00E-04 1.36E-02 7.16E-03 3.74E-08 8.07E-03 5.59E-08 1.53E-04 1.42E-02 3.32E-02 1.431E-01
1.650E-04 5.30E-02 1.41E-02 1.98E-04 1.40E-02 7.24E-03 3.85E-08 8.12E-03 5.75E-08 1.56E-04 1.43E-02 3.34E-02 1.445E-01
1.250E-04 7.04E-02 3.70E-02 1.81E-04 3.97E-02 1.11E-02 1.14E-07 1.03E-02 1.75E-07 3.42E-04 1.68E-02 3.76E-02 2.235E-01
