 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.34E+01  4.43E-14  5.02E-32  5.02E-32  3.66E-40  5.45E-40
  1.33E+01  4.60E-14  3.34E-32  3.34E-32  2.19E-40  3.25E-40
  1.32E+01  4.88E-14  2.22E-32  2.22E-32  1.31E-40  1.92E-40
  1.31E+01  5.32E-14  1.46E-32  1.46E-32  0.00E+00  1.12E-40
  1.29E+01  7.21E-14  6.13E-33  6.13E-33  0.00E+00  0.00E+00
  1.28E+01  8.93E-14  3.94E-33  3.94E-33  0.00E+00  0.00E+00
  1.27E+01  1.01E-13  2.52E-33  2.52E-33  0.00E+00  0.00E+00
  1.26E+01  9.24E-14  1.60E-33  1.60E-33  0.00E+00  0.00E+00
  1.25E+01  7.85E-14  1.01E-33  1.01E-33  0.00E+00  0.00E+00
  1.22E+01  7.09E-14  2.43E-34  2.43E-34  0.00E+00  0.00E+00
  1.21E+01  7.62E-14  1.48E-34  1.48E-34  0.00E+00  0.00E+00
  1.20E+01  8.05E-14  8.95E-35  8.95E-35  0.00E+00  0.00E+00
  1.19E+01  8.11E-14  5.40E-35  5.40E-35  0.00E+00  0.00E+00
  1.18E+01  8.15E-14  3.22E-35  3.22E-35  0.00E+00  0.00E+00
  1.17E+01  8.64E-14  1.90E-35  1.90E-35  0.00E+00  0.00E+00
  1.16E+01  9.95E-14  1.11E-35  1.11E-35  0.00E+00  0.00E+00
  1.15E+01  1.28E-13  6.43E-36  6.43E-36  0.00E+00  0.00E+00
  1.14E+01  1.68E-13  3.67E-36  3.67E-36  0.00E+00  0.00E+00
  1.13E+01  1.95E-13  2.08E-36  2.08E-36  0.00E+00  0.00E+00
  1.12E+01  1.67E-13  1.16E-36  1.16E-36  0.00E+00  0.00E+00
  1.11E+01  1.23E-13  6.45E-37  6.45E-37  0.00E+00  0.00E+00
  1.09E+01  7.96E-14  1.92E-37  1.92E-37  0.00E+00  0.00E+00
  1.05E+01  6.26E-14  1.50E-38  1.50E-38  0.00E+00  0.00E+00
  1.00E+01  5.88E-14  4.63E-40  4.63E-40  0.00E+00  0.00E+00
  9.80E+00  5.82E-14  1.04E-40  1.04E-40  0.00E+00  0.00E+00
  9.60E+00  5.78E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  5.71E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  5.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  5.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  4.18E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  4.32E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  4.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  3.94E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  3.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  2.82E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  2.84E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  3.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  3.28E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  3.33E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  3.05E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  2.57E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.76E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.49E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.83E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  1.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  2.13E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.63E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  9.14E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  7.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  9.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  1.30E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  1.23E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  6.73E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  5.15E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  4.45E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  4.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  4.43E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  6.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  1.52E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  6.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  4.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  4.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  3.90E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  3.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  3.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  3.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  3.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  2.69E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  2.53E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.96E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  1.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  4.47E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  4.27E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  2.98E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.69E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  1.29E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  1.15E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  1.08E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  1.02E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  9.53E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  8.93E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  8.35E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  7.79E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  7.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  6.74E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  6.26E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  5.93E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  5.35E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  4.93E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  4.53E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  4.15E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  3.80E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  3.46E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  3.15E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  2.86E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  2.58E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  2.33E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  1.95E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.87E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.67E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  1.48E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  1.31E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  1.15E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  1.01E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  8.81E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  7.65E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  6.61E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  6.13E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  5.68E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  4.85E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  4.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  3.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  2.92E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  2.43E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  2.01E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.65E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  2.09E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.79E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  1.45E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  1.17E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  9.34E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  7.39E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  5.79E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  5.50E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  4.48E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  4.04E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  3.44E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  2.99E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  2.60E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  2.25E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.94E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.62E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  1.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  6.73E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  3.64E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  2.02E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  8.85E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  5.98E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  1.81E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  5.98E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  2.74E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  1.88E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  6.66E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  2.44E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  1.03E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  4.68E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  1.53E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  2.17E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  2.49E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  3.38E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  4.41E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  7.05E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  1.39E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  1.95E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  4.51E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  7.23E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
