 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   4.440E-05   3.304E-03   3.993E-03   5.058E-05   1.363E+00
   4.350E-05   3.284E-03   4.098E-03   4.801E-05   1.397E+00
   4.170E-05   3.228E-03   4.306E-03   4.343E-05   1.469E+00
   4.000E-05   3.149E-03   4.476E-03   3.943E-05   1.541E+00
   3.850E-05   3.056E-03   4.631E-03   3.595E-05   1.605E+00
   3.656E-05   2.900E-03   4.864E-03   3.183E-05   1.690E+00
   3.570E-05   2.819E-03   4.961E-03   3.003E-05   1.728E+00
   3.330E-05   2.548E-03   5.240E-03   2.565E-05   1.839E+00
   3.130E-05   2.278E-03   5.470E-03   2.230E-05   1.936E+00
   3.000E-05   2.085E-03   5.614E-03   2.003E-05   2.005E+00
   2.940E-05   1.993E-03   5.762E-03   1.912E-05   2.038E+00
   2.780E-05   1.731E-03   5.990E-03   1.696E-05   2.139E+00
   2.630E-05   1.489E-03   6.160E-03   1.491E-05   2.274E+00
   2.500E-05   1.300E-03   6.411E-03   1.352E-05   2.478E+00
   2.380E-05   1.131E-03   6.589E-03   1.214E-05   2.877E+00
   2.270E-05   9.714E-04   6.629E-03   1.112E-05   3.344E+00
   2.170E-05   8.536E-04   6.631E-03   1.038E-05   3.310E+00
   2.080E-05   7.508E-04   6.791E-03   9.295E-06   3.164E+00
   2.000E-05   6.673E-04   6.446E-03   8.766E-06   3.040E+00
   1.920E-05   6.145E-04   5.676E-03   7.854E-06   2.938E+00
   1.850E-05   5.753E-04   5.202E-03   6.953E-06   2.905E+00
   1.790E-05   5.269E-04   4.760E-03   6.382E-06   2.914E+00
   1.720E-05   4.727E-04   4.247E-03   5.280E-06   2.972E+00
   1.670E-05   4.363E-04   3.851E-03   4.240E-06   3.038E+00
   1.610E-05   3.890E-04   3.347E-03   3.222E-06   3.169E+00
   1.560E-05   3.490E-04   2.911E-03   1.938E-06   3.322E+00
   1.520E-05   3.181E-04   2.538E-03   1.267E-06   3.485E+00
   1.470E-05   2.830E-04   2.077E-03   2.185E-06   3.712E+00
   1.430E-05   2.601E-04   1.713E-03   3.784E-06   3.908E+00
   1.390E-05   2.448E-04   1.430E-03   4.762E-06   4.060E+00
   1.350E-05   2.381E-04   1.178E-03   5.079E-06   4.204E+00
   1.320E-05   2.395E-04   1.019E-03   5.662E-06   4.316E+00
   1.280E-05   2.504E-04   8.603E-04   6.271E-06   4.482E+00
   1.250E-05   2.693E-04   8.122E-04   6.318E-06   4.621E+00
   1.220E-05   3.005E-04   7.592E-04   6.656E-06   4.785E+00
   1.190E-05   3.432E-04   6.899E-04   6.734E-06   4.988E+00
   1.160E-05   3.845E-04   6.223E-04   7.139E-06   5.212E+00
   1.140E-05   4.102E-04   5.703E-04   7.671E-06   5.376E+00
   1.110E-05   4.457E-04   5.086E-04   7.136E-06   5.646E+00
   1.080E-05   4.769E-04   4.677E-04   7.079E-06   6.012E+00
   1.050E-05   5.038E-04   4.569E-04   7.512E-06   6.468E+00
   1.030E-05   5.193E-04   4.679E-04   7.137E-06   6.873E+00
   1.000E-05   5.380E-04   5.159E-04   7.518E-06   7.461E+00
   9.750E-06   5.503E-04   6.015E-04   6.680E-06   7.980E+00
   9.500E-06   5.591E-04   7.242E-04   7.015E-06   8.544E+00
   9.250E-06   5.644E-04   8.531E-04   5.975E-06   9.065E+00
   9.080E-06   5.660E-04   9.382E-04   6.035E-06   9.355E+00
