 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  2.20E+01  1.79E-13  4.67E-21  2.67E-24  5.49E-23  2.36E-26  4.03E-14  1.38E-13  1.22E-15  9.65E-18
  2.15E+01  1.71E-13  2.31E-21  1.14E-24  2.63E-23  8.98E-27  3.61E-14  1.33E-13  1.30E-15  9.37E-18
  2.12E+01  1.66E-13  1.49E-21  6.71E-25  1.66E-23  4.91E-27  3.38E-14  1.31E-13  1.34E-15  9.21E-18
  2.11E+01  1.65E-13  1.28E-21  5.60E-25  1.42E-23  4.00E-27  3.31E-14  1.30E-13  1.34E-15  9.16E-18
  2.10E+01  1.63E-13  1.10E-21  4.66E-25  1.21E-23  3.25E-27  3.24E-14  1.29E-13  1.34E-15  9.10E-18
  2.08E+01  1.60E-13  8.09E-22  3.21E-25  8.75E-24  2.13E-27  3.10E-14  1.28E-13  1.31E-15  8.99E-18
  2.00E+01  1.49E-13  2.19E-22  6.70E-26  2.23E-24  3.61E-28  2.62E-14  1.22E-13  1.20E-15  8.57E-18
  1.95E+01  1.43E-13  9.17E-23  2.34E-26  9.00E-25  1.10E-28  2.36E-14  1.18E-13  1.26E-15  8.51E-18
  1.90E+01  1.36E-13  3.69E-23  7.61E-27  3.48E-25  3.14E-29  2.13E-14  1.13E-13  1.50E-15  8.44E-18
  1.85E+01  1.27E-13  1.41E-23  2.31E-27  1.27E-25  8.23E-30  1.92E-14  1.06E-13  1.90E-15  8.38E-18
  1.83E+01  1.23E-13  9.45E-24  1.40E-27  8.39E-26  4.71E-30  1.85E-14  1.02E-13  2.04E-15  8.35E-18
  1.82E+01  1.20E-13  7.70E-24  1.08E-27  6.77E-26  3.54E-30  1.81E-14  1.00E-13  2.09E-15  8.33E-18
  1.81E+01  1.18E-13  6.26E-24  8.35E-28  5.46E-26  2.65E-30  1.78E-14  9.82E-14  2.11E-15  8.32E-18
  1.80E+01  1.16E-13  5.08E-24  6.43E-28  4.39E-26  1.98E-30  1.74E-14  9.62E-14  2.12E-15  8.30E-18
  1.75E+01  1.03E-13  1.73E-24  1.62E-28  1.42E-26  4.31E-31  1.58E-14  8.54E-14  2.13E-15  8.22E-18
  1.70E+01  9.10E-14  5.46E-25  3.66E-29  4.26E-27  8.45E-32  1.44E-14  7.40E-14  2.57E-15  8.13E-18
  1.67E+01  8.39E-14  2.66E-25  1.41E-29  2.01E-27  0.00E+00  1.37E-14  6.72E-14  3.01E-15  8.08E-18
  1.65E+01  7.91E-14  1.63E-25  7.24E-30  1.20E-27  0.00E+00  1.32E-14  6.27E-14  3.16E-15  8.04E-18
  1.64E+01  7.67E-14  1.26E-25  5.15E-30  9.26E-28  0.00E+00  1.30E-14  6.05E-14  3.14E-15  8.02E-18
  1.63E+01  7.42E-14  9.80E-26  3.63E-30  7.09E-28  0.00E+00  1.27E-14  5.84E-14  3.07E-15  8.00E-18
  1.61E+01  6.94E-14  5.83E-26  1.78E-30  4.11E-28  0.00E+00  1.23E-14  5.42E-14  2.85E-15  7.96E-18
  1.60E+01  6.71E-14  4.47E-26  1.23E-30  3.12E-28  0.00E+00  1.21E-14  5.22E-14  2.75E-15  7.94E-18
  1.59E+01  6.49E-14  3.42E-26  8.45E-31  2.35E-28  0.00E+00  1.19E-14  5.03E-14  2.67E-15  7.92E-18
  1.58E+01  6.28E-14  2.60E-26  5.77E-31  1.77E-28  0.00E+00  1.17E-14  4.84E-14  2.62E-15  7.90E-18
  1.57E+01  6.07E-14  1.97E-26  3.92E-31  1.32E-28  0.00E+00  1.15E-14  4.66E-14  2.57E-15  7.88E-18
  1.56E+01  5.87E-14  1.49E-26  2.65E-31  9.90E-29  0.00E+00  1.13E-14  4.48E-14  2.51E-15  7.86E-18
  1.54E+01  5.49E-14  8.48E-27  1.20E-31  5.47E-29  0.00E+00  1.10E-14  4.15E-14  2.44E-15  7.82E-18
  1.52E+01  5.16E-14  4.71E-27  5.40E-32  2.95E-29  0.00E+00  1.06E-14  3.84E-14  2.56E-15  7.77E-18
  1.51E+01  5.00E-14  3.49E-27  0.00E+00  2.16E-29  0.00E+00  1.05E-14  3.69E-14  2.64E-15  7.75E-18
  1.50E+01  4.85E-14  2.57E-27  0.00E+00  1.56E-29  0.00E+00  1.03E-14  3.56E-14  2.66E-15  7.73E-18
  1.45E+01  4.25E-14  5.24E-28  0.00E+00  2.97E-30  0.00E+00  9.58E-15  2.96E-14  3.35E-15  7.61E-18
  1.44E+01  4.17E-14  3.77E-28  0.00E+00  2.10E-30  0.00E+00  9.44E-15  2.86E-14  3.71E-15  7.58E-18
  1.43E+01  4.12E-14  2.70E-28  0.00E+00  1.48E-30  0.00E+00  9.31E-15  2.79E-14  4.02E-15  7.56E-18
  1.42E+01  4.05E-14  1.92E-28  0.00E+00  1.04E-30  0.00E+00  9.18E-15  2.72E-14  4.17E-15  7.53E-18
  1.40E+01  3.98E-14  9.59E-29  0.00E+00  5.03E-31  0.00E+00  8.93E-15  2.63E-14  4.55E-15  7.48E-18
  1.38E+01  4.04E-14  4.70E-29  0.00E+00  2.38E-31  0.00E+00  8.69E-15  2.59E-14  5.75E-15  7.43E-18
  1.37E+01  4.15E-14  3.26E-29  0.00E+00  1.63E-31  0.00E+00  8.57E-15  2.61E-14  6.85E-15  7.40E-18
  1.36E+01  4.27E-14  2.25E-29  0.00E+00  1.10E-31  0.00E+00  8.46E-15  2.63E-14  7.94E-15  7.38E-18
  1.35E+01  4.33E-14  1.55E-29  0.00E+00  7.47E-32  0.00E+00  8.35E-15  2.65E-14  8.49E-15  7.35E-18
  1.34E+01  4.43E-14  1.06E-29  0.00E+00  5.02E-32  0.00E+00  8.24E-15  2.68E-14  9.20E-15  7.32E-18
  1.33E+01  4.60E-14  7.17E-30  0.00E+00  3.34E-32  0.00E+00  8.14E-15  2.72E-14  1.07E-14  7.29E-18
  1.32E+01  4.88E-14  4.85E-30  0.00E+00  2.22E-32  0.00E+00  8.03E-15  2.75E-14  1.32E-14  7.27E-18
  1.31E+01  5.32E-14  3.25E-30  0.00E+00  1.46E-32  0.00E+00  7.93E-15  2.80E-14  1.73E-14  7.24E-18
  1.29E+01  7.21E-14  1.42E-30  0.00E+00  6.13E-33  0.00E+00  7.74E-15  2.88E-14  3.57E-14  7.18E-18
  1.28E+01  8.93E-14  9.32E-31  0.00E+00  3.94E-33  0.00E+00  7.64E-15  2.93E-14  5.23E-14  7.15E-18
  1.27E+01  1.01E-13  6.08E-31  0.00E+00  2.52E-33  0.00E+00  7.55E-15  2.99E-14  6.33E-14  7.12E-18
  1.26E+01  9.24E-14  3.93E-31  0.00E+00  1.60E-33  0.00E+00  7.46E-15  3.04E-14  5.45E-14  7.09E-18
  1.25E+01  7.85E-14  2.53E-31  0.00E+00  1.01E-33  0.00E+00  7.37E-15  3.10E-14  4.01E-14  7.06E-18
  1.22E+01  7.09E-14  6.46E-32  0.00E+00  2.43E-34  0.00E+00  7.10E-15  3.26E-14  3.12E-14  6.97E-18
  1.21E+01  7.62E-14  0.00E+00  0.00E+00  1.48E-34  0.00E+00  7.01E-15  3.33E-14  3.59E-14  6.91E-18
  1.20E+01  8.05E-14  0.00E+00  0.00E+00  8.95E-35  0.00E+00  6.92E-15  3.40E-14  3.96E-14  6.85E-18
  1.19E+01  8.11E-14  0.00E+00  0.00E+00  5.40E-35  0.00E+00  6.83E-15  3.47E-14  3.96E-14  6.80E-18
  1.18E+01  8.15E-14  0.00E+00  0.00E+00  3.22E-35  0.00E+00  6.74E-15  3.54E-14  3.93E-14  6.74E-18
  1.17E+01  8.64E-14  0.00E+00  0.00E+00  1.90E-35  0.00E+00  6.65E-15  3.62E-14  4.36E-14  6.68E-18
  1.16E+01  9.95E-14  0.00E+00  0.00E+00  1.11E-35  0.00E+00  6.61E-15  3.67E-14  5.62E-14  6.63E-18
  1.15E+01  1.28E-13  0.00E+00  0.00E+00  6.43E-36  0.00E+00  9.08E-15  3.73E-14  8.19E-14  6.57E-18
  1.14E+01  1.68E-13  0.00E+00  0.00E+00  3.67E-36  0.00E+00  6.60E-15  3.80E-14  1.23E-13  6.51E-18
  1.13E+01  1.95E-13  0.00E+00  0.00E+00  2.08E-36  0.00E+00  6.44E-15  3.87E-14  1.50E-13  6.45E-18
  1.12E+01  1.67E-13  0.00E+00  0.00E+00  1.16E-36  0.00E+00  6.35E-15  3.94E-14  1.21E-13  6.40E-18
  1.11E+01  1.23E-13  0.00E+00  0.00E+00  6.45E-37  0.00E+00  6.26E-15  4.03E-14  7.66E-14  6.34E-18
  1.09E+01  7.96E-14  0.00E+00  0.00E+00  1.92E-37  0.00E+00  6.10E-15  4.18E-14  3.17E-14  6.23E-18
  1.05E+01  6.26E-14  0.00E+00  0.00E+00  1.50E-38  0.00E+00  5.81E-15  4.64E-14  1.03E-14  6.00E-18
  1.00E+01  5.88E-14  0.00E+00  0.00E+00  4.63E-40  0.00E+00  5.47E-15  4.82E-14  5.09E-15  5.71E-18
  9.80E+00  5.82E-14  0.00E+00  0.00E+00  1.04E-40  0.00E+00  5.34E-15  4.85E-14  4.38E-15  5.60E-18
  9.60E+00  5.78E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.21E-15  4.86E-14  4.02E-15  5.48E-18
  9.50E+00  5.71E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.15E-15  4.80E-14  3.94E-15  5.43E-18
  9.40E+00  5.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.08E-15  4.68E-14  3.94E-15  5.37E-18
  9.20E+00  5.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.96E-15  4.18E-14  4.20E-15  5.25E-18
  8.90E+00  4.18E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.77E-15  3.09E-14  6.14E-15  5.08E-18
  8.70E+00  4.32E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.65E-15  2.46E-14  1.39E-14  4.97E-18
  8.60E+00  4.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.59E-15  2.21E-14  2.10E-14  4.91E-18
  8.50E+00  3.94E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.53E-15  2.00E-14  1.49E-14  4.85E-18
