 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.59E+01  2.99E-14  0.00E+00  0.00E+00  1.39E-34  0.00E+00  9.12E-15  1.89E-14  1.92E-15  7.92E-18
  1.58E+01  2.89E-14  0.00E+00  0.00E+00  9.40E-35  0.00E+00  8.92E-15  1.81E-14  1.89E-15  7.90E-18
  1.57E+01  2.79E-14  0.00E+00  0.00E+00  6.33E-35  0.00E+00  8.73E-15  1.73E-14  1.85E-15  7.88E-18
  1.56E+01  2.69E-14  0.00E+00  0.00E+00  4.26E-35  0.00E+00  8.54E-15  1.66E-14  1.81E-15  7.86E-18
  1.54E+01  2.51E-14  0.00E+00  0.00E+00  1.89E-35  0.00E+00  8.18E-15  1.51E-14  1.76E-15  7.82E-18
  1.52E+01  2.35E-14  0.00E+00  0.00E+00  8.17E-36  0.00E+00  7.84E-15  1.39E-14  1.85E-15  7.77E-18
  1.51E+01  2.28E-14  0.00E+00  0.00E+00  5.33E-36  0.00E+00  7.68E-15  1.32E-14  1.90E-15  7.75E-18
  1.50E+01  2.21E-14  0.00E+00  0.00E+00  3.45E-36  0.00E+00  7.52E-15  1.27E-14  1.91E-15  7.73E-18
  1.45E+01  1.94E-14  0.00E+00  0.00E+00  3.64E-37  0.00E+00  6.79E-15  1.02E-14  2.41E-15  7.61E-18
  1.44E+01  1.91E-14  0.00E+00  0.00E+00  2.28E-37  0.00E+00  6.66E-15  9.81E-15  2.67E-15  7.58E-18
  1.43E+01  1.89E-14  0.00E+00  0.00E+00  1.41E-37  0.00E+00  6.53E-15  9.51E-15  2.89E-15  7.56E-18
  1.42E+01  1.86E-14  0.00E+00  0.00E+00  8.73E-38  0.00E+00  6.40E-15  9.22E-15  3.00E-15  7.53E-18
  1.40E+01  1.82E-14  0.00E+00  0.00E+00  3.27E-38  0.00E+00  6.15E-15  8.80E-15  3.27E-15  7.48E-18
  1.38E+01  1.86E-14  0.00E+00  0.00E+00  1.18E-38  0.00E+00  5.92E-15  8.56E-15  4.14E-15  7.43E-18
  1.37E+01  1.93E-14  0.00E+00  0.00E+00  7.06E-39  0.00E+00  5.81E-15  8.55E-15  4.94E-15  7.40E-18
  1.36E+01  2.00E-14  0.00E+00  0.00E+00  4.18E-39  0.00E+00  5.70E-15  8.56E-15  5.72E-15  7.38E-18
  1.35E+01  2.03E-14  0.00E+00  0.00E+00  2.45E-39  0.00E+00  5.59E-15  8.57E-15  6.12E-15  7.35E-18
  1.34E+01  2.07E-14  0.00E+00  0.00E+00  1.43E-39  0.00E+00  5.49E-15  8.61E-15  6.63E-15  7.32E-18
  1.33E+01  2.17E-14  0.00E+00  0.00E+00  8.23E-40  0.00E+00  5.39E-15  8.67E-15  7.69E-15  7.29E-18
  1.32E+01  2.35E-14  0.00E+00  0.00E+00  4.71E-40  0.00E+00  5.29E-15  8.71E-15  9.50E-15  7.27E-18
  1.31E+01  2.64E-14  0.00E+00  0.00E+00  2.66E-40  0.00E+00  5.19E-15  8.78E-15  1.25E-14  7.24E-18
