 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.31E+01  2.64E-14  2.66E-40  2.66E-40  0.00E+00  0.00E+00
  1.29E+01  3.96E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E+01  5.17E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.27E+01  5.95E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.26E+01  5.32E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+01  4.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E+01  3.65E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.21E+01  3.99E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.20E+01  4.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E+01  4.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.18E+01  4.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.17E+01  4.57E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E+01  5.47E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.15E+01  7.48E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E+01  1.03E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+01  1.23E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.12E+01  1.02E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E+01  6.97E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.09E+01  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E+01  2.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+01  1.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.80E+00  1.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  1.72E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  1.68E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  1.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  1.52E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  1.38E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  1.78E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  2.23E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  1.73E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  1.36E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  1.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  1.50E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  1.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  1.98E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  2.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  1.91E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  1.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  8.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  8.57E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.11E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  7.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  5.78E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  5.40E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  7.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.35E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  9.97E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  4.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  3.82E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  5.35E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  7.89E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  7.46E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  3.50E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  2.46E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  2.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  2.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  2.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  4.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  1.01E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  3.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  2.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  2.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  2.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  1.94E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  1.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  1.65E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  1.55E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  1.40E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  1.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  1.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  9.39E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  6.44E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  6.33E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  2.85E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  2.73E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  1.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.13E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  8.72E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  7.78E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  7.34E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  6.91E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  6.49E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  6.09E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  5.70E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  5.33E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  4.97E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  4.63E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  4.30E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  4.08E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  3.69E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  3.40E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  3.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  2.88E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  2.64E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  2.41E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  2.19E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  1.99E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  1.80E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  1.63E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  1.37E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.31E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.17E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  1.04E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  9.20E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  8.11E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  7.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  6.22E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  5.41E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  4.67E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  4.34E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  4.02E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  3.44E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  2.92E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  2.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  2.07E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
